EntraIDRole,ImpactLevel,MaximumActivationDurationHours,RequireMFAOnActivation,RequireJustificationOnActivation,AllowPermanentEligibleAssignment,AllowPermanentActiveAssignment,RoleDescription
Directory Writers,High,2,True,True,True,False,"Can read and write basic directory information. For granting access to applications, not intended for users."
Domain Name Administrator,High,2,True,True,True,False,Can manage domain names in cloud and on-premises.
Dragon Administrator,Low,8,False,False,True,True,Manage all aspects of the Microsoft Dragon admin center.
Dynamics 365 Administrator,Low,8,False,False,True,True,Can manage all aspects of the Dynamics 365 product.
Dynamics 365 Business Central Administrator,High,4,True,True,True,True,Assign the Dynamics 365 Business Central Administrator role to users who need to do the following tasks:
Edge Administrator,Low,8,False,False,True,True,Manage all aspects of Microsoft Edge.
Entra ID Joined Device Local Administrator,Medium,8,True,True,True,False,Users assigned to this role are added to the local administrators group on Azure AD-joined devices.
Exchange Administrator,Medium,8,True,True,True,False,Can manage all aspects of the Exchange product.
Exchange Recipient Administrator,Low,8,False,False,True,True,Can create or update Exchange Online recipients within the Exchange Online organization.
Extended Directory User Administrator,Medium,6,True,True,True,False,Manage all aspects of external user profiles in the extended directory for Teams.
External ID User Flow Administrator,Medium,6,True,True,True,False,Can create and manage all aspects of user flows.
External ID User Flow Attribute Administrator,Medium,6,True,True,True,False,Can create and manage the attribute schema available to all user flows.
External Identity Provider Administrator,High,4,True,True,True,False,Can configure identity providers for use in direct federation.
Fabric Administrator,Low,8,False,False,True,True,Can manage all aspects of the Power BI product.
Global Administrator,High,8,True,True,True,True,Can manage all aspects of Azure AD and Microsoft services that use Azure AD identities.
Global Reader,Medium,8,False,True,True,True,"Can read everything that a Global Administrator can, but not update anything."
Global Secure Access Administrator,High,2,True,True,True,False,"Create and manage all aspectsâ€¯of Microsoft Entra Internet Access and Microsoft Entra Private Access, including managing access to public and private endpoints. Users with the role cannot manage enterprise applications, application registrations, Conditional Access, or application proxy settings."
Global Secure Access Log Reader,Low,8,False,True,True,False,Provides read-only access to network traffic logs in Microsoft Entra Internet Access and Microsoft Entra Private Access.
Groups Administrator,Medium,8,True,True,True,False,"Members of this role can create/manage groups, create/manage groups settings like naming and expiration policies, and view groups activity and audit reports."
Guest Inviter,Low,8,False,False,True,True,Can invite guest users independent of the 'members can invite guests' setting.
Helpdesk Administrator,High,4,True,True,True,True,Can reset passwords for non-administrators and Helpdesk Administrators.
Hybrid Identity Administrator,High,2,True,True,True,False,"Can manage AD to Azure AD cloud provisioning, Azure AD Connect, and federation settings."
Identity Governance Administrator,Medium,6,True,True,True,False,Manage access using Azure AD for identity governance scenarios.
Insights Administrator,Low,8,False,False,True,True,Has administrative access in the Microsoft 365 Insights app.
Insights Analyst,Low,8,False,False,True,True,Access the analytical capabilities in Microsoft Viva Insights and run custom queries.
Insights Business Leader,Low,8,False,False,True,True,Can view and share dashboards and insights via the M365 Insights app.
Intune Administrator,High,4,True,True,True,True,Can manage all aspects of the Intune product.
IoT Device Administrator,Medium,6,True,True,True,False,Provision new IoT devices manage their lifecycle configure certificates and manage device templates.
Kaizala Administrator,Low,8,False,False,True,True,Can manage settings for Microsoft Kaizala.
Knowledge Administrator,Low,8,False,False,True,True,"Can configure knowledge, learning, and other intelligent features."
Knowledge Manager,Low,8,False,False,True,True,Has access to topic management dashboard and can manage content.
License Administrator,Low,8,False,False,True,True,Can manage product licenses on users and groups.
Lifecycle Workflows Administrator,High,4,True,True,True,False,Create and manage all aspects of workflows and tasks associated with Lifecycle Workflows in Azure AD.
Message Center Privacy Reader,Low,8,False,False,True,True,Can read security messages and updates in Office 365 Message Center only.
Message Center Reader,Low,8,False,False,True,True,Can read messages and updates for their organization in Office 365 Message Center only.
Microsoft 365 Backup Administrator,Medium,6,True,True,True,False,Back up and restore content across supported Microsoft 365 services.
Microsoft 365 Migration Administrator,High,4,True,True,True,True,Assign the Microsoft 365 Migration Administrator role to users who need to do the following tasks
Microsoft Graph Data Connect Administrator,Medium,6,True,True,True,False,Manage aspects of Microsoft Graph Data Connect service in a tenant.
Microsoft Hardware Warranty Administrator,Low,8,False,False,True,True,"Create and manage all aspects warranty claims and entitlements for Microsoft manufactured hardware, like Surface and HoloLens."
Microsoft Hardware Warranty Specialist,Low,8,False,False,True,True,"Create and read warranty claims for Microsoft manufactured hardware, like Surface and HoloLens."
Network Administrator,Medium,6,True,True,True,False,Can manage network locations and review enterprise network design insights for Microsoft 365 Software as a Service applications.
Office Apps Administrator,Medium,6,True,True,True,False,"Can manage Office apps cloud services, including policy and settings management, and manage the ability to select, unselect and publish 'what's new' feature content to end-user's devices."
Organizational Branding Administrator,Medium,6,True,True,True,False,Assign the Organizational Branding Administrator role to users who need to do the following tasks.
Organizational Data Source Administrator,Medium,6,True,True,True,False,Set up and manage the ingestion of organizational data into Microsoft 365.
Organizational Messages Approver,Low,8,False,False,True,True,"Review, approve, or reject new organizational messages for delivery in the Microsoft 365 admin center before they are sent to users."
Organizational Messages Writer,Low,8,False,False,True,True,"Write, publish, manage, and review the organizational messages for end-users through Microsoft product surfaces."
Password Administrator,High,2,True,True,True,False,Can reset passwords for non-administrators and Password Administrators.
Permissions Management Administrator,Medium,6,True,True,True,False,Manage all aspects of Entra Permissions Management.
Power Platform Administrator,Medium,6,True,True,True,False,"Can create and manage all aspects of Microsoft Dynamics 365, PowerApps and Microsoft Flow."
Printer Administrator,Low,8,False,False,True,True,Can manage all aspects of printers and printer connectors.
Printer Technician,Low,8,False,False,True,True,Can manage all aspects of printers and printer connectors.
Privileged Authentication Administrator,High,2,True,True,True,False,"Allowed to view, set and reset authentication method information for any user (admin or non-admin)."
Privileged Role Administrator,High,2,True,True,True,False,"Can manage role assignments in Azure AD, and all aspects of Privileged Identity Management."
Purview Workload Content Administrator,Medium,6,True,True,True,False,Manage or purge data from Microsoft 365 when accessing from the Microsoft Purview portal.
Purview Workload Content Reader,Low,8,False,True,True,True,Read data from Microsoft 365 when accessing from the Microsoft Purview portal.
Purview Workload Content Writer,Medium,6,True,True,True,False,Read and edit data from Microsoft 365 when accessing from the Microsoft Purview portal.
Reports Reader,Medium,8,False,True,True,False,Can read sign-in and audit reports.
Search Administrator,Low,8,False,False,True,True,Can create and manage all aspects of Microsoft Search settings.
Search Editor,Low,8,False,False,True,True,"Can create and manage the editorial content such as bookmarks, Q and As, locations, floorplan."
Security Administrator,High,2,True,True,True,True,Security Administrator allows ability to read and manage security configuration and reports.
Security Operator,Medium,8,False,True,True,True,Creates and manages security events.
Security Reader,Medium,8,False,True,True,False,Can read security information and reports in Azure AD and Office 365.
Service Support Administrator,Low,8,False,False,True,True,Can read service health information and manage support tickets.
SharePoint Administrator,Medium,8,True,True,True,True,Can manage all aspects of the SharePoint service.
SharePoint Advanced Management Administrator,Medium,6,True,True,True,False,Manage all aspects of SharePoint Advanced Management.
SharePoint Backup Administrator,Medium,6,True,True,True,False,Back up and restore content including granular restore for SharePoint and OneDrive in Microsoft 365 Backup.
SharePoint Embedded Administrator,Medium,6,True,True,True,False,Assign the SharePoint Embedded Administrator role to users who need to do the following tasks:
Skype for Business Administrator,Low,8,False,False,True,True,Can manage all aspects of the Skype for Business product.
Teams Administrator,Medium,8,True,True,True,False,Can manage the Microsoft Teams service.
Teams Communications Administrator,Low,8,False,False,True,True,Can manage calling and meetings features within the Microsoft Teams service.
Teams Communications Support Engineer,Low,8,False,False,True,True,Can troubleshoot communications issues within Teams using advanced tools.
Teams Communications Support Specialist,Low,8,False,False,True,True,Can troubleshoot communications issues within Teams using basic tools.
Teams Devices Administrator,Low,8,False,False,True,True,Can perform management related tasks on Teams certified devices.
Teams Reader,Low,8,False,True,True,True,Read everything in the Teams admin center but cannot update anything.
Teams Telephony Administrator,Low,8,False,False,True,True,Manage voice and telephony features and troubleshoot communication issues within the Microsoft Teams service.
Tenant Creator,Medium,6,True,True,True,False,Create new Azure AD or Azure AD B2C tenants.
Usage Summary Reports Reader,Low,8,False,False,True,True,Can see only tenant level aggregates in Microsoft 365 Usage Analytics and Productivity Score.
User Administrator,High,4,True,True,True,True,"Can manage all aspects of users and groups, including resetting passwords for limited admins."
User Experience Success Manager,Low,8,False,False,True,True,"View product feedback, survey results, and reports to find training and communication opportunities."
Viva Glint Tenant Administrator,Low,8,False,False,True,True,Manage and configure Microsoft Viva Glint settings in the Microsoft 365 admin center.
Viva Goals Administrator,Low,8,False,False,True,True,Manage and configure all aspects of Microsoft Viva Goals.
Viva Pulse Administrator,Low,8,False,False,True,True,Can manage all settings for Microsoft Viva Pulse app.
Virtual Visits Administrator,Low,8,False,False,True,True,Manage and share Virtual Visits information and metrics from admin centers or the Virtual Visits app.
Windows 365 Administrator,Medium,6,True,True,True,False,Can provision and manage all aspects of Cloud PCs.
Windows Update Deployment Administrator,Medium,6,True,True,True,False,Can create and manage all aspects of Windows Update deployments through the Windows Update for Business deployment service.
Yammer Administrator,Medium,6,True,True,True,False,Manage all aspects of Yammer.
